target_gene,top10_predictors
Q0105,"['Q0130', 'Q0010', 'YLR351C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C']"
Q0110,"['Q0120', 'Q0055', 'YML087C', 'Q0050', 'YLR361C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W']"
Q0115,"['YOR225W', 'YBR072W', 'Q0130', 'Q0070', 'YML123C', 'Q0010', 'YLR354C', 'YLR361C', 'YLR360W', 'YLR359W']"
Q0120,"['Q0110', 'Q0050', 'YML087C', 'Q0130', 'Q0055', 'Q0075', 'YLR361C', 'YLR360W', 'YLR359W', 'YLR352W']"
Q0130,"['Q0065', 'Q0140', 'Q0080', 'YBR058C-A', 'YPL058C', 'YNR067C', 'Q0070', 'YNL284C-A', 'snR10', 'YHR072W-A']"
Q0140,"['Q0130', 'YPL201C', 'Q0075', 'YML087C', 'YFL014W', 'YLR354C', 'YLR362W', 'YLR361C', 'YLR360W', 'YLR359W']"
Q0142,"['Q0010', 'YLR291C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C', 'YLR353W']"
Q0143,"['Q0010', 'YLR291C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C', 'YLR353W']"
Q0144,"['Q0010', 'YLR291C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C', 'YLR353W']"
Q0160,"['Q0050', 'YPL201C', 'Q0010', 'YLR350W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C']"
Q0182,"['Q0010', 'YLR291C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C', 'YLR353W']"
Q0250,"['YBR072W', 'YML128C', 'Q0130', 'YFL014W', 'YLR343W', 'YLR362W', 'YLR361C', 'YLR360W', 'YLR359W', 'YLR358C']"
Q0255,"['Q0010', 'YLR291C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C', 'YLR353W']"
Q0275,"['Q0130', 'YML087C', 'YFL014W', 'Q0050', 'YLR362W', 'YLR361C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W']"
Q0297,"['YOR225W', 'Q0130', 'Q0010', 'YLR350W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C', 'YLR353W']"
snR10,"['YDR426C', 'YMR013W-A', 'YNL040W', 'YBR058C-A', 'YPL250C', 'YNL015W', 'YJR004C', 'YMR173W-A', 'YGL089C', 'YNR058W']"
YAL001C,"['YML100W', 'YOL052C-A', 'YLR327C', 'YBR092C', 'YDL038C', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C']"
YAL002W,"['Q0010', 'YLR291C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C', 'YLR353W']"
YAL003W,"['YNL178W', 'YDL081C', 'YLR327C', 'YFR053C', 'Q0130', 'YBR072W', 'YAL061W', 'YGL089C', 'YML128C', 'YKL120W']"
YAL004W,"['YCR013C', 'YBR072W', 'YFL014W', 'YNL036W', 'YGL089C', 'YML123C', 'Q0010', 'YLR353W', 'YLR360W', 'YLR359W']"
YAL005C,"['YJL052W', 'YMR142C', 'YLL026W', 'YPL240C', 'YJL034W', 'YOR027W', 'YCR106W', 'YOL058W', 'YER081W', 'YLR216C']"
YAL007C,"['YBR072W', 'YCL042W', 'YML123C', 'Q0010', 'YLR351C', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C']"
YAL008W,"['YDL130W-A', 'YLR178C', 'YGR043C', 'YJR078W', 'YFL014W', 'YGL255W', 'YGL089C', 'Q0055', 'YML123C', 'YJR025C']"
YAL009W,"['YFL014W', 'YLR361C', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C', 'YLR353W', 'YLR352W']"
YAL010C,"['YBR072W', 'Q0010', 'YLR339C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C']"
YAL011W,"['Q0010', 'YLR291C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C', 'YLR353W']"
YAL012W,"['YFL014W', 'YBR054W', 'YLR303W', 'YDR019C', 'YNL277W', 'YCL064C', 'YOR383C', 'YLL061W', 'Q0010', 'YLR354C']"
YAL013W,"['YJL153C', 'YHR087W', 'YNR058W', 'YJL225C', 'YLR352W', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W']"
YAL014C,"['YFL066C', 'YFL014W', 'YLR351C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C']"
YAL015C,"['YER081W', 'YGR043C', 'YDR170W-A', 'YBR085C-A', 'YBR072W', 'YMR169C', 'YML123C', 'YGL089C', 'YGR234W', 'YLR350W']"
YAL016W,"['YDR171W', 'YFL014W', 'YGR032W', 'YGL089C', 'YBR072W', 'YLR354C', 'YLR362W', 'YLR361C', 'YLR360W', 'YLR359W']"
YAL017W,"['YOR374W', 'YDR171W', 'YBR169C', 'YDR074W', 'YOL052C-A', 'YLR178C', 'YPR026W', 'YDR258C', 'YFL014W', 'YGL089C']"
YAL018C,"['YDR522C', 'YHR185C', 'YLR307W', 'YGR059W', 'YBR045C', 'YBL098W', 'YJR078W', 'YNL318C', 'YLR361C', 'YLR360W']"
YAL019W,"['YOL052C-A', 'YCL040W', 'YHR087W', 'YDR171W', 'YDL039C', 'YLR343W', 'YLR353W', 'YLR360W', 'YLR359W', 'YLR358C']"
YAL020C,"['YBR072W', 'YFL014W', 'YFR053C', 'Q0010', 'YLR352W', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W']"
YAL021C,"['YIL126W', 'YDL140C', 'YDL038C', 'YLR327C', 'YER081W', 'YBR072W', 'Q0010', 'YLR353W', 'YLR360W', 'YLR359W']"
YAL022C,"['YPR158W-A', 'YDR210C-C', 'Q0010', 'YLR350W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C']"
YAL023C,"['YBR085C-A', 'YLR327C', 'YNL036W', 'YIL080W', 'YFL014W', 'Q0065', 'Q0070', 'Q0130', 'Q0010', 'YLR361C']"
YAL024C,"['YHR087W', 'Q0055', 'YMR169C', 'YDR170W-A', 'YDL038C', 'YGL089C', 'Q0010', 'YLR354C', 'YLR362W', 'YLR361C']"
YAL025C,"['YGL029W', 'YNL110C', 'YDR171W', 'YCR005C', 'YDR258C', 'YDL038C', 'YLR327C', 'YER081W', 'YAL061W', 'YBR267W']"
YAL026C,"['Q0055', 'Q0065', 'YML100W', 'Q0010', 'YLR351C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W']"
YAL027W,"['YFL014W', 'YDR034W-B', 'YML128C', 'YGR088W', 'YML123C', 'Q0065', 'YBR072W', 'YLR348C', 'YLR349W', 'YLR362W']"
YAL028W,"['YDR171W', 'YDR034W-B', 'YOL153C', 'YBR085C-A', 'YER081W', 'YOR382W', 'YBR085W', 'YDL038C', 'YOR383C', 'YLR178C']"
YAL029C,"['YDR170W-A', 'YGR234W', 'Q0055', 'Q0010', 'YLR352W', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W']"
YAL030W,"['YDL130W-A', 'YLR178C', 'YEL059C-A', 'YGL089C', 'Q0010', 'YLR353W', 'YLR361C', 'YLR360W', 'YLR359W', 'YLR358C']"
YAL031C,"['YOL052C-A', 'YFL014W', 'YIL101C', 'YOR374W', 'Q0055', 'YDL039C', 'Q0010', 'YLR352W', 'YLR358C', 'YLR357W']"
YAL032C,"['YCL042W', 'YDR170W-A', 'YDL039C', 'Q0130', 'Q0010', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W']"
YAL033W,"['YFR053C', 'YML128C', 'YGR032W', 'YGL089C', 'YBR072W', 'YER081W', 'YOL058W', 'YGL156W', 'YML123C', 'Q0055']"
YAL034C,"['YBR072W', 'YML128C', 'YGR032W', 'YDR170W-A', 'YDR077W', 'YEL060C', 'YLR347C', 'YLR355C', 'YLR362W', 'YLR344W']"
YAL034C-B,"['Q0010', 'YLR291C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C', 'YLR353W']"
YAL034W-A,"['YDR170W-A', 'Q0055', 'Q0010', 'YLR351C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C']"
YAL035W,"['YLR178C', 'YBR085C-A', 'YDR171W', 'YBR072W', 'Q0055', 'YNL036W', 'YDL038C', 'YLR347C', 'YLR348C', 'YLR362W']"
YAL036C,"['YCL040W', 'YDR171W', 'YML128C', 'YML100W', 'YCR005C', 'YNL036W', 'YLR345W', 'YLR346C', 'YLR360W', 'YLR359W']"
YAL037W,"['YOL052C-A', 'YDR170W-A', 'YJR078W', 'YOR383C', 'Q0130', 'Q0010', 'YLR351C', 'YLR359W', 'YLR358C', 'YLR357W']"
YAL038W,"['YHR174W', 'YBR072W', 'YMR189W', 'Q0130', 'YML100W', 'YFL014W', 'YIL101C', 'YGR052W', 'YDL038C', 'YKL152C']"
YAL039C,"['YGR161C', 'Q0065', 'YEL059C-A', 'YDL038C', 'YBR105C', 'YDL169C', 'YLR327C', 'YDR034W-B', 'YGL156W', 'YJL153C']"
YAL040C,"['YKL163W', 'YKL109W', 'YGL178W', 'YDR170W-A', 'Q0055', 'YDL038C', 'YFR053C', 'YPR158W-A', 'YNR057C', 'YLR359W']"
YAL041W,"['YDR210C-C', 'Q0010', 'YLR362W', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C']"
YAL042C-A,"['Q0010', 'YLR291C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C', 'YLR353W']"
YAL042W,"['YBR054W', 'YHR087W', 'Q0010', 'YLR352W', 'YLR361C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W']"
YAL043C,"['YMR046C', 'Q0130', 'YDR170W-A', 'YLR361C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C']"
YAL044C,"['YDR019C', 'YMR189W', 'YDR170W-A', 'Q0055', 'YLR058C', 'YDR171W', 'YER081W', 'YDL038C', 'YGR032W', 'YGR088W']"
YAL044W-A,"['Q0055', 'YER081W', 'YBR072W', 'YDR170W-A', 'YGL255W', 'Q0010', 'YLR353W', 'YLR360W', 'YLR359W', 'YLR358C']"
YAL045C,"['Q0010', 'YLR291C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C', 'YLR353W']"
YAL046C,"['Q0055', 'YDR170W-A', 'YOR383C', 'YFL014W', 'Q0010', 'YLR351C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W']"
YAL047C,"['YHR087W', 'YFR053C', 'Q0010', 'YLR352W', 'YLR361C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W']"
YAL048C,"['YDR170W-A', 'YJL225C', 'YFR015C', 'YHR087W', 'YOR302W', 'YGL089C', 'YLR354C', 'YLR361C', 'YLR360W', 'YLR359W']"
YAL049C,"['YHR138C', 'YPL134C', 'YGR043C', 'YEL059C-A', 'YDR034W-B', 'YDR170W-A', 'YBR054W', 'YDL246C', 'YLR358C', 'YLR357W']"
YAL051W,"['YFL014W', 'YGL089C', 'Q0130', 'Q0010', 'YLR361C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W']"
YAL053W,"['YLR194C', 'YHR030C', 'YKL161C', 'YDL038C', 'YGL089C', 'YIL117C', 'YGR032W', 'YDR034W-B', 'YJL153C', 'YDR077W']"
YAL054C,"['YML042W', 'YGL121C', 'YML054C', 'YJR095W', 'YOR374W', 'YGL089C', 'YBR072W', 'Q0065', 'YLR327C', 'YML123C']"
YAL055W,"['Q0055', 'YDL038C', 'YLR327C', 'YDL130W-A', 'YDR170W-A', 'Q0010', 'YLR361C', 'YLR360W', 'YLR359W', 'YLR358C']"
YAL056C-A,"['Q0010', 'YLR291C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C', 'YLR353W']"
YAL056W,"['YFL014W', 'YOR382W', 'Q0070', 'Q0010', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C']"
YAL058W,"['YDR170W-A', 'YHR087W', 'YFR053C', 'YFL014W', 'YLR353W', 'YLR362W', 'YLR361C', 'YLR360W', 'YLR359W', 'YLR358C']"
YAL059W,"['YNL112W', 'YKL078W', 'YCL040W', 'YML100W', 'YDR258C', 'YNL141W', 'YNL036W', 'YER081W', 'YOL080C', 'YGL029W']"
YAL060W,"['YDR019C', 'YDR516C', 'YDL124W', 'YDL049C', 'YAR073W', 'YFR053C', 'YDR384C', 'YMR189W', 'YNR058W', 'YML123C']"
YAL061W,"['YDR406W', 'YOL084W', 'YMR195W', 'YGR088W', 'YGR248W', 'YDR074W', 'YDL038C', 'YLR346C', 'YGR052W', 'YIL101C']"
YAL062W,"['YJR148W', 'YGR292W', 'YJR078W', 'YOR383C', 'YPL156C', 'YGL121C', 'YML058W-A', 'YER081W', 'YOR100C', 'YMR107W']"
YAL063C,"['YHR211W', 'YGL158W', 'YGR032W', 'YGR088W', 'YAL061W', 'YBR067C', 'YBR072W', 'Q0065', 'YLR327C', 'YER081W']"
YAL064C-A,"['Q0010', 'YLR291C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C', 'YLR353W']"
YAL064W,"['YJL221C', 'YLR461W', 'YJR156C', 'YNL160W', 'YGL089C', 'Q0010', 'YLR353W', 'YLR360W', 'YLR359W', 'YLR358C']"
YAL064W-B,"['YBR072W', 'YHR087W', 'YLR340W', 'YLR361C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C']"
YAL065C,"['YNR072W', 'YGL158W', 'Q0010', 'YLR351C', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C']"
YAL066W,"['Q0010', 'YLR291C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C', 'YLR353W']"
YAL067C,"['YLR307W', 'YJR078W', 'YHR015W', 'YNL160W', 'YER081W', 'YLR303W', 'YHR087W', 'YDR403W', 'YJR010W', 'YJR156C']"
YAL067W-A,"['YBR072W', 'Q0010', 'YLR339C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C']"
YAL068C,"['YJL223C', 'YLR461W', 'YIR041W', 'YDR403W', 'YGR032W', 'YOL157C', 'YKL224C', 'Q0010', 'YLR360W', 'YLR359W']"
YAL069W,"['YNL114C', 'YER081W', 'YHR211W', 'YNR034W-A', 'YOR382W', 'YOL058W', 'YDL039C', 'Q0130', 'YBR072W', 'YLR377C']"
YAR002C-A,"['YML128C', 'YDR170W-A', 'YCL064C', 'YDR406W', 'YFL014W', 'Q0010', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W']"
YAR002W,"['Q0010', 'YLR291C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C', 'YLR353W']"
YAR003W,"['Q0055', 'YOL058W', 'YLR327C', 'YJR078W', 'YOR382W', 'YMR046C', 'YGL156W', 'YLR342W', 'YLR351C', 'YLR359W']"
YAR007C,"['YHR087W', 'YLR384C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C', 'YLR353W']"
YAR008W,"['YDR171W', 'YGR032W', 'YOR374W', 'YBR072W', 'YFL014W', 'Q0010', 'YLR353W', 'YLR360W', 'YLR359W', 'YLR358C']"
YAR009C,"['YMR061W', 'YMR158C-A', 'YDR261C-D', 'YPR158W-A', 'YGR161C-D', 'YGL089C', 'YDR098C-B', 'YFL014W', 'YDR170W-A', 'YCL021W-A']"
YAR014C,"['YCL042W', 'YHR087W', 'YBR072W', 'Q0010', 'YLR353W', 'YLR361C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W']"
YAR015W,"['YMR120C', 'YOR161C', 'YHR087W', 'Q0065', 'YOL058W', 'Q0010', 'YLR351C', 'YLR358C', 'YLR357W', 'YLR356W']"
YAR018C,"['YNL058C', 'YFR015C', 'YBR092C', 'Q0130', 'YDL038C', 'YLR352W', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W']"
YAR019C,"['YBR072W', 'YMR169C', 'Q0010', 'YLR351C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C']"
YAR020C,"['YLR037C', 'YIR041W', 'YGL261C', 'YMR169C', 'YBR072W', 'YER081W', 'YGL089C', 'YLR360W', 'YLR359W', 'YLR358C']"
YAR023C,"['YBR072W', 'Q0010', 'YLR339C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C']"
YAR027W,"['YMR316W', 'YBR085C-A', 'YDR034W-B', 'YHR087W', 'YIL117C', 'YOL016C', 'YGL089C', 'YBR072W', 'YML123C', 'YLR356W']"
YAR028W,"['YAR031W', 'YAR029W', 'YPR156C', 'YNR057C', 'YHL044W', 'YAR033W', 'Q0130', 'YOL157C', 'YOL014W', 'YDL048C']"
YAR029W,"['YAR028W', 'YOL014W', 'YGL089C', 'YCR102C', 'YFL014W', 'Q0010', 'YLR361C', 'YLR360W', 'YLR359W', 'YLR358C']"
YAR030C,"['YJR078W', 'YDL246C', 'YLR307W', 'YMR173W-A', 'YNL160W', 'YIL080W', 'YJR156C', 'YNL036W', 'YGR144W', 'YER187W']"
YAR031W,"['YAR028W', 'YBR085W', 'YJL037W', 'YOL157C', 'YDR403W', 'YFL014W', 'YJL153C', 'YHR087W', 'YLR042C', 'YGL089C']"
YAR033W,"['YGL051W', 'YFL014W', 'YLR351C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C']"
YAR035W,"['YJR078W', 'YDR403W', 'YBL043W', 'YOR100C', 'YDL038C', 'Q0130', 'YBR072W', 'YGL089C', 'YKL096W', 'YCL064C']"
YAR042W,"['YGL089C', 'Q0065', 'YGR032W', 'Q0010', 'YLR351C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W']"
YAR047C,"['Q0010', 'YLR291C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C', 'YLR353W']"
YAR050W,"['Q0010', 'YLR291C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C', 'YLR353W']"
YAR053W,"['YHR015W', 'YIL014C-A', 'YDL246C', 'snR10', 'YIR030C', 'YOR383C', 'YMR173W-A', 'YCL064C', 'YEL073C', 'YHR184W']"
YAR060C,"['YCR099C', 'YFL066C', 'YIL080W', 'YNR065C', 'YFL064C', 'YOR302W', 'YOL151W', 'YML123C', 'Q0055', 'YDL215C']"
YAR062W,"['Q0010', 'YLR291C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C', 'YLR353W']"
YAR064W,"['Q0010', 'YLR291C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C', 'YLR353W']"
YAR069C,"['YDL130W-A', 'YML128C', 'Q0055', 'YDR170W-A', 'YBR072W', 'YLR327C', 'YGR008C', 'YNL036W', 'YBR085C-A', 'YDL038C']"
YAR073W,"['YHR216W', 'YJR161C', 'YFL064C', 'YML131W', 'YJR025C', 'YGL089C', 'YJL225C', 'YOL058W', 'YHR214W', 'YPR152C']"
YAR075W,"['YHR216W', 'YJL136C', 'YGR161C', 'YDR170W-A', 'YAR073W', 'YML128C', 'YBR072W', 'Q0130', 'YBR085C-A', 'YMR169C']"
YBL001C,"['YIL111W', 'YGL255W', 'YFL014W', 'YFR053C', 'YIL014C-A', 'YBR072W', 'YJL037W', 'YEL039C', 'YGR043C', 'Q0065']"
YBL002W,"['YNL030W', 'YDR224C', 'YAR009C', 'YDR034W-B', 'YKL152C', 'YDL227C', 'Q0055', 'YLR267W', 'YDL038C', 'YHR215W']"
YBL003C,"['YBR009C', 'YNL030W', 'YLR400W', 'YML058W-A', 'YFL014W', 'YIL080W', 'YGR146C', 'YDL038C', 'YDL039C', 'YML123C']"
YBL004W,"['YLR106C', 'YDR171W', 'YDR258C', 'YLR178C', 'YDL130W-A', 'Q0055', 'YER081W', 'YHR087W', 'YDL038C', 'YLR413W']"
YBL005W,"['YOR153W', 'YLR346C', 'YDR406W', 'YDR034W-B', 'YDR171W', 'YNR057C', 'YFR015C', 'YDL181W', 'Q0130', 'YBR072W']"
YBL006C,"['YOR153W', 'Q0065', 'YER081W', 'YGL089C', 'YER150W', 'Q0010', 'YLR351C', 'YLR359W', 'YLR358C', 'YLR357W']"
YBL007C,"['YML100W', 'YIL117C', 'Q0010', 'YLR350W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C']"
YBL008W,"['YHR087W', 'YFL014W', 'YLR361C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C']"
YBL009W,"['YGR043C', 'YDR019C', 'YMR169C', 'YIL117C', 'Q0055', 'YDR170W-A', 'YLR327C', 'Q0010', 'YLR361C', 'YLR360W']"
YBL010C,"['YML123C', 'YDL038C', 'Q0010', 'YLR351C', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C']"
YBL011W,"['YBR072W', 'YBR085C-A', 'YER081W', 'YGR043C', 'Q0010', 'YLR353W', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W']"
YBL012C,"['Q0010', 'YLR291C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C', 'YLR353W']"
YBL013W,"['Q0010', 'YLR291C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W', 'YLR355C', 'YLR354C', 'YLR353W']"
YBL014C,"['YDL038C', 'YHR087W', 'YDR171W', 'YLR327C', 'Q0055', 'YNR057C', 'Q0010', 'YLR361C', 'YLR360W', 'YLR359W']"
YBL015W,"['YKL148C', 'YCL040W', 'YPL134C', 'YJL153C', 'YOR153W', 'YCL064C', 'YGR052W', 'YJR095W', 'YDL181W', 'Q0130']"
YBL016W,"['YJL157C', 'YHR005C', 'YNR044W', 'YCR097W', 'YBR083W', 'YDL038C', 'YJR004C', 'YJR153W', 'YDR170W-A', 'YLR452C']"
YBL017C,"['YML100W', 'YGR032W', 'YML128C', 'Q0010', 'YLR351C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W']"
YBL018C,"['YDR171W', 'YGR088W', 'YCL042W', 'Q0065', 'YMR169C', 'YIL080W', 'YFR053C', 'YGL255W', 'YBR085C-A', 'YGR234W']"
YBL019W,"['YHR087W', 'YMR169C', 'Q0130', 'YFL014W', 'Q0010', 'YLR361C', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W']"
YBL020W,"['YDR170W-A', 'YFR053C', 'YDR171W', 'Q0130', 'YFL014W', 'YDL039C', 'Q0050', 'Q0010', 'YLR363C', 'YLR362W']"
YBL021C,"['YDR170W-A', 'YDR171W', 'Q0065', 'YHR087W', 'Q0055', 'YML123C', 'YOL100W', 'YOR153W', 'YLR355C', 'YLR353W']"
YBL022C,"['YDR258C', 'YHL030W', 'YFL014W', 'YFR053C', 'Q0010', 'YLR353W', 'YLR361C', 'YLR360W', 'YLR359W', 'YLR358C']"
YBL023C,"['YGR043C', 'Q0070', 'Q0055', 'YBR072W', 'YLR353W', 'YLR362W', 'YLR361C', 'YLR360W', 'YLR359W', 'YLR358C']"
YBL024W,"['YDR171W', 'YBR072W', 'YDR170W-A', 'Q0130', 'YIL117C', 'YFL002W-B', 'Q0010', 'YLR361C', 'YLR360W', 'YLR359W']"
YBL025W,"['YEL048C', 'YBR072W', 'YOL014W', 'YOL058W', 'YGR234W', 'YLR343W', 'YLR354C', 'YLR341W', 'YLR359W', 'YLR358C']"
YBL026W,"['YGR032W', 'YDR170W-A', 'YGL089C', 'YDR171W', 'YOL100W', 'Q0055', 'YDR258C', 'YER081W', 'YLR361C', 'YLR360W']"
YBL027W,"['YGL103W', 'YBR072W', 'YGR032W', 'Q0010', 'YLR352W', 'YLR360W', 'YLR359W', 'YLR358C', 'YLR357W', 'YLR356W']"
YBL028C,"['YDR171W', 'YBR072W', 'YNL036W', 'YER081W', 'YFR053C', 'YGL089C', 'YLR352W', 'YLR360W', 'YLR359W', 'YLR358C']"
